Company,Headline,Description,Time,pdf_link,bert_sentiment,confidence,final_sentiment
LLOYDSME,Shareholders meeting,"Scrutinizer s Report and Result of E-voting of the 48th Annual General Meeting of the Company held through Video Conferencing & Other Audio Visual Means on 2nd June, 2025",03-Jun-2025 20:42:45,https://nsearchives.nseindia.com/corporate/LLOYDSME_03062025204149_20250603_Intimation_of_Scrutinizer_Report.pdf,-0.9999919349183983,0.9999945163726807,Negative
THYROCARE,General Updates,Thyrocare Technologies Limited has informed the Exchange about additional Capital infusion in Thyrocare Laboratories (Tanzania) Limited.,03-Jun-2025 20:39:13,https://nsearchives.nseindia.com/corporate/THYROCARE_03062025203814_SE_Letter_CCPS_USD_175000.pdf,-0.99999150651729,0.999995231628418,Negative
UJJIVANSFB,Shareholders meeting,"Ujjivan Small Finance Bank Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 27, 2025",03-Jun-2025 20:35:45,https://nsearchives.nseindia.com/corporate/ACSUJJIVAN_03062025203520_26_Intimation_AGM_Notice_Combined.pdf,-0.999981343280524,0.9999873638153076,Negative
THELEELA,General Updates,"Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",03-Jun-2025 20:32:23,https://nsearchives.nseindia.com/corporate/THELEELA_03062025203203_IntimationRegulation30.pdf,-0.9999430377938552,0.9999637603759766,Negative
DENTA,Analysts/Institutional Investor Meet/Con. Call Updates,Denta Water and Infra Solutions Limited has informed the Exchange about Link of Recording,03-Jun-2025 20:19:04,https://nsearchives.nseindia.com/corporate/DENTA_03062025201832_DentaAudio_Recording_Link_Q4FY25_Earnings_Call.pdf,-0.9999683495771023,0.9999794960021973,Negative
PNBHOUSING,Analysts/Institutional Investor Meet/Con. Call Updates,PNB Housing Finance Limited has informed the Exchange about Schedule of Conference - Outcome,03-Jun-2025 20:16:35,https://nsearchives.nseindia.com/corporate/PNBHOUSING_03062025201320_Outcome_Morgan_June03.pdf,-0.9999965657760868,0.999997615814209,Negative
UNIDT,Copy of Newspaper Publication,United Drilling Tools Limited has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 20:16:17,https://nsearchives.nseindia.com/corporate/UNIDT_03062025201608_Intimation_NP.pdf,-0.9999764251215311,0.9999860525131226,Negative
MVGJL,Analysts/Institutional Investor Meet/Con. Call Updates,Manoj Vaibhav Gems N Jewellers Limited has informed the Exchange about Presentation,03-Jun-2025 20:12:14,https://nsearchives.nseindia.com/corporate/CSVAIBHAV_03062025201153_InvestorpresentationMVGJL.pdf,-0.9999794847735757,0.9999867677688599,Negative
UNIDT,General Updates,United Drilling Tools Limited has informed the Exchange about General Updates,03-Jun-2025 20:11:58,https://nsearchives.nseindia.com/corporate/UNIDT_03062025201134_Letter.pdf,-0.9999836069473531,0.9999912977218628,Negative
METROBRAND,Analysts/Institutional Investor Meet/Con. Call Updates,Metro Brands Limited has informed the Exchange about,03-Jun-2025 20:05:24,https://nsearchives.nseindia.com/corporate/METROBRAND_03062025200418_outcome_to_SE_-_Post_Meeting_signed.pdf,-0.999994443253513,0.9999961853027344,Negative
MOTHERSON,Credit Rating- Others,Samvardhana Motherson International Limited has submitted with the exchange an intimation regarding credit rating of SMRP B.V.,03-Jun-2025 20:04:57,https://nsearchives.nseindia.com/corporate/MOTHERSON_03062025200147_Disclosure.pdf,-0.9999434407345689,0.9999642372131348,Negative
3IINFOLTD,Cessation,Resignation of Mr. Navneesh Sarin- Business Head (Business Process Services),03-Jun-2025 20:04:51,https://nsearchives.nseindia.com/corporate/3IINFOTECHLTD_03062025200419_Final_intimation_letter_to_SE_SIGNED.pdf,-0.9999420187650685,0.9999692440032959,Negative
NAUKRI,Analysts/Institutional Investor Meet/Con. Call Updates,"Info Edge (India) Limited has informed the Exchange about Transcript of Earnings Conference Call on financial results for the Quarter and Year ended March 31, 2025",03-Jun-2025 20:04:37,https://nsearchives.nseindia.com/corporate/NAUKRI2_03062025200250_IEIL_EarningCallTranscriptMay_2025.pdf,-0.9998777370310563,0.9999037981033325,Negative
TATACHEM,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Tata Chemicals Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,03-Jun-2025 20:04:24,https://nsearchives.nseindia.com/corporate/TATACHEMYS_03062025200355_Format-SE_Intimation__ay_08-09__v2_signed.pdf,-0.9999790604797454,0.9999864101409912,Negative
METROBRAND,Analysts/Institutional Investor Meet/Con. Call Updates,Metro Brands Limited has informed the Exchange about outcome of meet.,03-Jun-2025 20:03:10,https://nsearchives.nseindia.com/corporate/METROBRAND_03062025200254_outcome_to_SE_-_Post_Meeting_signed.pdf,-0.999994443253513,0.9999961853027344,Negative
METROBRAND,Analysts/Institutional Investor Meet/Con. Call Updates,Metro Brands Limited has informed the Exchange about Intimation regarding cancellation of meet,03-Jun-2025 20:01:33,https://nsearchives.nseindia.com/corporate/METROBRAND_03062025200113_intimation_to_SE_-Investor_meet_cancelled_030625_signed.pdf,-0.9999890883714215,0.9999935626983643,Negative
UNIPARTS,Analysts/Institutional Investor Meet/Con. Call Updates,Uniparts India Limited has informed the Exchange about Transcript,03-Jun-2025 19:54:14,https://nsearchives.nseindia.com/corporate/Earth_2018_03062025195354_Q4EarningsCallTranscript.pdf,-0.9999907961271219,0.9999932050704956,Negative
ETHOSLTD,General Updates,"Please find enclosed the Draft Letter of Offer dated June 03, 2025 for the Rights Issue of Ethos Limited.",03-Jun-2025 19:46:25,https://nsearchives.nseindia.com/corporate/ETHOS_03062025194607_SE_DLOF.pdf,-0.9999924920196008,0.9999949932098389,Negative
AXISBANK,Analysts/Institutional Investor Meet/Con. Call Updates,Axis Bank Limited has informed the Exchange about Presentation,03-Jun-2025 19:46:02,https://nsearchives.nseindia.com/corporate/AXISBANK1_03062025194553_SEAdvancePresentationSigned.pdf,-0.9999927716232833,0.999995231628418,Negative
PERSISTENT,Analysts/Institutional Investor Meet/Con. Call Updates,Persistent Systems Limited has informed the Exchange about Schedule of meet,03-Jun-2025 19:40:16,https://nsearchives.nseindia.com/corporate/PERSISTENTUSER1_03062025194006_PSLIntimationJune32025_Signed.pdf,-0.999986229195656,0.9999914169311523,Negative
JAYAGROGN,Copy of Newspaper Publication,Jayant Agro Organics Limited has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 19:38:57,https://nsearchives.nseindia.com/corporate/JAYAGROGN1_03062025193842_JAOL_Newspaper_Advt_IEPF_Transfer.pdf,-0.9999685160883018,0.9999828338623047,Negative
SANGHVIMOV,General Updates,"Sanghvi Movers Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015",03-Jun-2025 19:38:07,https://nsearchives.nseindia.com/corporate/SANGHVIMOV_03062025193238_SML_SE_Intimation_R30_03062025s.pdf,-0.9999513150287385,0.9999727010726929,Negative
AWL,Updates,AWL Agri Business Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for FY 2024-2025'.,03-Jun-2025 19:34:45,https://nsearchives.nseindia.com/corporate/AWL_03062025193431_SEBRSR_LEtter.pdf,-0.9999911403210717,0.9999949932098389,Negative
CHOICEIN,General Updates,Issuance of Equity Shares on Preferential basis by our Material Subsidiary Choice Equity Broking Private Limited on exercise of Warrants.,03-Jun-2025 19:33:11,https://nsearchives.nseindia.com/corporate/CHOICE_03062025193255_upload.pdf,-0.9999708821087552,0.9999817609786987,Negative
ADANIGREEN,General Updates,Adani Green Energy Limited has informed the Exchange about Incorporation of step-down subsidiary companies,03-Jun-2025 19:32:12,https://nsearchives.nseindia.com/corporate/ADANIGREEN_03062025193114_Letter.pdf,-0.999996679728838,0.9999979734420776,Negative
AWL,Shareholders meeting,"AWL Agri Business Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 26, 2025",03-Jun-2025 19:31:56,https://nsearchives.nseindia.com/corporate/AWL_03062025193145_SEARLETTER.pdf,-0.9999873592928452,0.9999915361404419,Negative
LTF,Amendment to AOA/MOA,L&T Finance Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,03-Jun-2025 19:28:45,https://nsearchives.nseindia.com/corporate/naguiyer_03062025192748_NSEBSEINTIMATION.pdf,-0.999910262053163,0.9999444484710693,Negative
KHADIM,General Updates,Khadim India Limited has informed the Exchange about Update on Demerger- Alteration of Authorized Share Capital of the Company,03-Jun-2025 19:26:10,https://nsearchives.nseindia.com/corporate/KHADIM_03062025192120_KILAlterationofAuthorisedShareCapital.pdf,-0.9999736793606644,0.9999847412109375,Negative
AXISBANK,Analysts/Institutional Investor Meet/Con. Call Updates,Axis Bank Limited has informed the Exchange about Schedule of meet,03-Jun-2025 19:25:52,https://nsearchives.nseindia.com/corporate/AXISBANK1_03062025192536_SEAdvanceIntimationn03062025Signed.pdf,-0.999989767256011,0.999994158744812,Negative
NEOGEN,Record Date,Neogen Chemicals Limited has informed the Exchange that Record date for the purpose of Postal Ballot  is 09-Jun-2025.,03-Jun-2025 19:22:06,https://nsearchives.nseindia.com/corporate/NEOGEN_03062025192114_Outcome.pdf,-0.999990307010421,0.9999927282333374,Negative
NEOGEN,Action(s) taken or orders passed,Neogen Chemicals Limited has informed the Exchange about Action(s) taken or orders passed,03-Jun-2025 19:19:38,https://nsearchives.nseindia.com/corporate/NEOGEN_03062025191927_Outcome.pdf,-0.999990307010421,0.9999927282333374,Negative
TRACXN,Buyback,Tracxn Technologies Limited has informed the Exchange about Outcome of Buyback Committee Meeting   Approval of Postal Ballot Notice via Circular Resolution,03-Jun-2025 19:19:34,https://nsearchives.nseindia.com/corporate/TRACXN_03062025191918_OutcomeofBuybackCommitteeforapprovalofPostalBallotNoticesigned.pdf,-0.9999226940553854,0.999936580657959,Negative
LTF,Shareholders meeting,"L&T Finance Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 03, 2025. Further, the company has informed the Exchange regarding voting results.",03-Jun-2025 19:19:14,https://nsearchives.nseindia.com/corporate/naguiyer_03062025191835_NSEBSEIntimation.pdf,-0.9999856147533137,0.9999905824661255,Negative
EMCURE,Cessation,"Emcure Pharmaceuticals Limited has informed the Exchange regarding Cessation of Mr Anil Kothiyal as Other of the company w.e.f. Jun 06, 2025.",03-Jun-2025 19:18:43,https://nsearchives.nseindia.com/corporate/EMCURE_03062025191532_IntimationChangeSMPMrKothiyal.pdf,-0.9999469946214958,0.9999690055847168,Negative
MAZDOCK,General Updates,Mazagon Dock Shipbuilders Limited has informed the Exchange about management's participation in 4th Antique's Aerospace & Defence Conference on 06.06.2025.,03-Jun-2025 19:18:07,https://nsearchives.nseindia.com/corporate/MAZDOCK_03062025191634_SE_Disc_Participation_in_Defence_Conference.pdf,-0.9999922759262745,0.9999938011169434,Negative
RBLBANK,Analysts/Institutional Investor Meet/Con. Call Updates,RBL Bank Limited has informed the Exchange about Schedule of meet,03-Jun-2025 19:17:44,https://nsearchives.nseindia.com/corporate/RBLBANK_03062025191722_IntimationofInvestorAnalystMeetJune320253meetingsSigned.pdf,-0.9999904663818597,0.9999936819076538,Negative
NEOGEN,Outcome of Board Meeting,"Neogen Chemicals Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 03, 2025.",03-Jun-2025 19:16:44,https://nsearchives.nseindia.com/corporate/NEOGEN_03062025191632_Outcome.pdf,-0.999990307010421,0.9999927282333374,Negative
NESTLEIND,General Updates,Nestle India Limited has informed the Exchange about Update on Analyst/ Institutional Investor Meet,03-Jun-2025 19:16:19,https://nsearchives.nseindia.com/corporate/NESTLEIND1_03062025191547_InvestorMeetOutcome03June2025signed.pdf,-0.9999937549644073,0.9999954700469971,Negative
PRESTIGE,Diversification/Disinvestment,Prestige Estates Projects Limited has informed the Exchange about retirement from partnership firm,03-Jun-2025 19:16:00,https://nsearchives.nseindia.com/corporate/PRESTIGE_03062025191458_Intimation.pdf,-0.999979413316396,0.9999884366989136,Negative
NEOGEN,General Updates,Board comments on fine levied by NSE.,03-Jun-2025 19:15:20,https://nsearchives.nseindia.com/corporate/NEOGEN_03062025191509_Outcome.pdf,-0.999990307010421,0.9999927282333374,Negative
NEOGEN,General Updates,"Neogen Chemicals Limited has informed the Exchange regarding outcome of Board meeting held on Jun 03, 2025.1) Continuation of Directorship of Prof. Ranjan Kumar Malik2) Calendar of events for Postal Ballot3) Notice received from NSE.",03-Jun-2025 19:13:27,https://nsearchives.nseindia.com/corporate/NEOGEN_03062025191305_Outcome.pdf,-0.999990307010421,0.9999927282333374,Negative
TORNTPOWER,Copy of Newspaper Publication,Torrent Power Limited has informed the Exchange about Copy of Newspaper Publication of Notice to Members.,03-Jun-2025 19:13:07,https://nsearchives.nseindia.com/corporate/TORNTPOWER_03062025191213_Newspaperad.pdf,-0.9999832962203072,0.9999868869781494,Negative
NEOGEN,Outcome of Board Meeting,"Neogen Chemicals Limited has informed the Exchange regarding outcome of Board meeting held on Jun 03, 2025.1) Continuation of Directorship of Prof. Ranjan Kumar Malik2) Calendar of events for Postal Ballot3) Notice received from NSE.",03-Jun-2025 19:10:44,https://nsearchives.nseindia.com/corporate/NEOGEN_03062025191037_Outcome.pdf,-0.999990307010421,0.9999927282333374,Negative
COHANCE,Analysts/Institutional Investor Meet/Con. Call Updates,Cohance Lifesciences Limited has informed the Exchange about Schedule of meet,03-Jun-2025 19:09:50,https://nsearchives.nseindia.com/corporate/SUVENPHARMSUSHEEL_03062025190937_Cohance_-_Intimation_for_Conferences.pdf,-0.9999893771932875,0.9999935626983643,Negative
ROHLTD,Investor Presentation,Royal Orchid Hotels Limited has informed the Exchange about Investor Presentation,03-Jun-2025 19:03:01,https://nsearchives.nseindia.com/corporate/ROHLTD_03062025190118_Investorspresentation03062025.pdf,-0.9999511660571443,0.999970555305481,Negative
TEJASNET,General Updates,Tejas Networks Limited has informed the Exchange about Business Responsibility and Sustainability Report for the Financial Year 2024-25,03-Jun-2025 19:02:36,https://nsearchives.nseindia.com/corporate/TEJASNET_03062025190152_BRSR.pdf,-0.9999839779034119,0.9999902248382568,Negative
ALANKIT,General Updates,Alankit Limited has informed the Exchange about General Updates,03-Jun-2025 19:01:41,https://nsearchives.nseindia.com/corporate/ALANKIT_03062025190110_Regulation_30_sd.pdf,-0.9980659386310435,0.998090922832489,Negative
GODREJPROP,Credit Rating,Godrej Properties Limited has informed the Exchange about Credit Rating,03-Jun-2025 18:58:24,https://nsearchives.nseindia.com/corporate/GODREJPROP_03062025185751_SEIntimation.pdf,-0.9999290514879249,0.99994957447052,Negative
TINNARUBR,Analysts/Institutional Investor Meet/Con. Call Updates,Tinna Rubber and Infrastructure Limited has informed the Exchange about Schedule of meet,03-Jun-2025 18:58:16,https://nsearchives.nseindia.com/corporate/TINNARUBBER_03062025185713_SEInvestorMeet_TRIL-Reg30_Intimation03Jun2025.pdf,-0.999990763261394,0.999994158744812,Negative
KAYNES,Updates,Kaynes Technology India Limited has informed the Exchange regarding 'General Announcement - Acquisition and Corporate Guarantee'.,03-Jun-2025 18:56:03,https://nsearchives.nseindia.com/corporate/KAYNESTECH_03062025185457_IntimationtostockexchangeoninvestmentSigned.pdf,-0.9999942118806757,0.9999966621398926,Negative
KAYNES,Acquisition,Kaynes Technology India Limited has informed the Exchange about Acquisition,03-Jun-2025 18:56:03,https://nsearchives.nseindia.com/corporate/KAYNESTECH_03062025185255_IntimationtostockexchangeoninvestmentSigned.pdf,-0.9999942118806757,0.9999966621398926,Negative
MUFIN,Conversion,Mufin Green Finance Limited has informed the Exchange about Conversion of Warrants into Equity Shares,03-Jun-2025 18:55:19,https://nsearchives.nseindia.com/corporate/MUFIN_03062025185511_Intimation_Allotment_of_Warrants_F.pdf,-0.9999839997111621,0.999984860420227,Negative
RAINBOW,Analysts/Institutional Investor Meet/Con. Call Updates,Rainbow Childrens Medicare Limited has informed the Exchange about Schedule of meet,03-Jun-2025 18:55:14,https://nsearchives.nseindia.com/corporate/RAINBOWUSER_03062025185423_NSE.pdf,-0.9999973392408492,0.9999983310699463,Negative
AXISBANK,ESOP/ESOS/ESPS,Axis Bank Limited has informed the Exchange regarding Allotment of 325053  Shares.,03-Jun-2025 18:54:50,https://nsearchives.nseindia.com/corporate/AXISBANK1_03062025185419_SE03062025_signed.pdf,-0.9999826826438039,0.9999837875366211,Negative
MITCON,Updates,MITCON Consultancy & Engineering Services Limited has informed the Exchange regarding 'Suspension of trading in partly paid-up equity shares of the Company'.,03-Jun-2025 18:54:05,https://nsearchives.nseindia.com/corporate/MITCON_03062025185321_IntimationofSuspensionofISINofPartlypaidupShares.pdf,-0.9999677069517929,0.9999827146530151,Negative
PROSTARM,Updates,"Prostarm Info Systems Limited has informed the Exchange regarding 'Intimation under Regulation 8(2) of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015'.",03-Jun-2025 18:50:33,https://nsearchives.nseindia.com/corporate/PROSTARM_03062025185021_SE_8_2_.pdf,-0.9998585197718057,0.9999185800552368,Negative
BBTC,Updates,Bombay Burmah Trading Corporation Limited has informed the Exchange regarding 'Sale of shares of Associate Company'.,03-Jun-2025 18:50:20,https://nsearchives.nseindia.com/corporate/KML_03062025185006_BBTCL-SEDisclosureJune25.pdf,-0.9999428168666782,0.9999679327011108,Negative
BANDHANBNK,Analysts/Institutional Investor Meet/Con. Call Updates,"Bandhan Bank Limited has informed the Exchange about Update on Analysts / Institutional Investors Meet held on June 03, 2025",03-Jun-2025 18:49:53,https://nsearchives.nseindia.com/corporate/BANDHANBNK_03062025184727_SE_Disclosure_Investors_Conference_Outcome_03062025_sd.pdf,-0.9999893003041507,0.9999934434890747,Negative
CANFINHOME,Analysts/Institutional Investor Meet/Con. Call Updates,Can Fin Homes Limited has informed the Exchange about Outcome of Analyst Meet,03-Jun-2025 18:48:55,https://nsearchives.nseindia.com/corporate/CANFINHOME_03062025184849_CANFINHOMEOutcomeOfanalystmeet.pdf,-0.9999974591116256,0.9999982118606567,Negative
BAJAJHCARE,Resignation,"Bajaj Healthcare Limited has informed the Exchange regarding Resignation of  Mr. Sandeep Shah as Non- Executive Independent Director of the company w.e.f. Jun 03, 2025.",03-Jun-2025 18:48:48,https://nsearchives.nseindia.com/corporate/BAJAJHCARE_03062025184831_Intimation_for_resignation_by_ID_Final.pdf,-0.999921773927781,0.9999583959579468,Negative
IPL,Analysts/Institutional Investor Meet/Con. Call Updates,India Pesticides Limited has informed the Exchange about Transcript,03-Jun-2025 18:48:47,https://nsearchives.nseindia.com/corporate/IPL_03062025184837_TranscriptoftheEarningsCall03062025.pdf,-0.9999573168634015,0.9999719858169556,Negative
VSSL,Shareholders meeting,"Vardhman Special Steels Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on Jun 25, 2025",03-Jun-2025 18:47:05,https://nsearchives.nseindia.com/corporate/VSSL_03062025184603_EGM_NOTICE.pdf,-0.999971158777953,0.999977707862854,Negative
NLCINDIA,General Updates,NLC India Limited has informed the Exchange about General Updates,03-Jun-2025 18:46:57,https://nsearchives.nseindia.com/corporate/NLCINDIA_03062025184629_SE_Intimation_03062025_-_NRPL.pdf,-0.9999799311481183,0.9999885559082031,Negative
AXISCADES,Analysts/Institutional Investor Meet/Con. Call Updates,"AXISCADES Technologies Limited has informed the Exchange about Schedule of Analysts / Institutional Investors Meeting under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",03-Jun-2025 18:45:30,https://nsearchives.nseindia.com/corporate/AXISCADES_03062025184449_InvestorMeet03062025.pdf,-0.9999931340398689,0.9999957084655762,Negative
ZYDUSWELL,Updates,Zydus Wellness Limited has informed the Exchange regarding 'Disclosure under Insider Trading Regulations'.,03-Jun-2025 18:44:33,https://nsearchives.nseindia.com/corporate/ZYDUSWELL_03062025184425_SEintimation.pdf,-0.9999763339073979,0.9999867677688599,Negative
CHOLAFIN,Allotment of Securities,"Cholamandalam Investment and Finance Company Limited has informed the Exchange regarding allotment of 50200 securities pursuant to Non Convertible Securities at its meeting held on Jun 03, 2025",03-Jun-2025 18:44:22,https://nsearchives.nseindia.com/corporate/JashJS_03062025184408_NSEIntimationSEBIReg30AllotmentSD77.pdf,-0.9999820847524461,0.9999867677688599,Negative
SAH,Resignation,"Sah Polymers Limited has informed the Exchange regarding Resignation of  Ms. Alka Gupta as the Compliance Officer of the company w.e.f. June 03, 2025.",03-Jun-2025 18:43:37,https://nsearchives.nseindia.com/corporate/SAHPOLYMERSLIMITEDIPO_03062025184318_Resignation_of_compliance_officer_signed.pdf,-0.9998430986961466,0.9999138116836548,Negative
PROSTARM,General Updates,"Prostarm Info Systems Limited has informed the Exchange about Intimation under Regulation 30 (5) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements Regulations), 2015",03-Jun-2025 18:43:04,https://nsearchives.nseindia.com/corporate/PROSTARM_03062025184253_SE_30_5_.pdf,-0.9999241501209326,0.9999548196792603,Negative
IKIO,Resignation,"IKIO Technologies Limited has informed the Exchange regarding Resignation of Mr. Atul Kumar Jain as Chief Financial Officer of the company w.e.f. July 01, 2025.",03-Jun-2025 18:39:35,https://nsearchives.nseindia.com/corporate/IKIO_03062025183915_ResignationletterFINAL.pdf,-0.9998331273091026,0.9999134540557861,Negative
SERVOTECH,Press Release,"Servotech Renewable Power System Limited has informed the Exchange regarding a press release dated Jun 03, 2025, titled ""Servotech Secures 7.8 MW Grid-Connected Solar Rooftop Project from Northeast Frontier Railway"".",03-Jun-2025 18:36:26,https://nsearchives.nseindia.com/corporate/SERVOTECH_03062025183540_NSEpr.pdf,-0.9999719975212429,0.9999797344207764,Negative
SERVOTECH,Bagging/Receiving of orders/contracts,Servotech Renewable Power System Limited has informed the Exchange about Bagging/Receiving of orders/contracts,03-Jun-2025 18:32:48,https://nsearchives.nseindia.com/corporate/SERVOTECH_03062025183139_baggigng.pdf,-0.9999768139498428,0.9999784231185913,Negative
ITC,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITC Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",03-Jun-2025 18:30:46,https://nsearchives.nseindia.com/corporate/ITC_03062025182624_MonthlydematrematMay2025.pdf,-0.9999930295775812,0.9999960660934448,Negative
PROSTARM,Updates,Prostarm Info Systems Limited has informed the Exchange regarding 'Appointment of Registrar & Share Transfer Agent '.,03-Jun-2025 18:30:17,https://nsearchives.nseindia.com/corporate/PROSTARM_03062025183004_SE_RTA.pdf,-0.9998185220902087,0.9998908042907715,Negative
CPCAP,Copy of Newspaper Publication,CP Capital Limited has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 18:29:54,https://nsearchives.nseindia.com/corporate/CAREERP_03062025182941_CP_Capital_Newspaper_publication_march_2025.pdf,-0.9999899191680015,0.999994158744812,Negative
AXISCADES,Analysts/Institutional Investor Meet/Con. Call Updates,AXISCADES Technologies Limited has informed the Exchange about Transcript,03-Jun-2025 18:28:49,https://nsearchives.nseindia.com/corporate/AXISCADES_03062025182646_ACTLTranscriptFY25.pdf,-0.9999871495838306,0.9999912977218628,Negative
ICICIBANK,General Updates,"ICICI Bank Limited has informed the Exchange about Disclosure under Regulation 30 read with Para A of Schedule III and Regulation 46(2) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",03-Jun-2025 18:28:20,https://nsearchives.nseindia.com/corporate/ICICIBANK11_03062025182808_NSEBSE.pdf,-0.9997003717726329,0.9997875094413757,Negative
EMBDL,Analysts/Institutional Investor Meet/Con. Call Updates,Embassy Developments Limited has informed the Exchange about Schedule of meet,03-Jun-2025 18:27:54,https://nsearchives.nseindia.com/corporate/IBREL_03062025182502_Stock_Exchange_Intimation_-_IR_meet.pdf,-0.9999938802166071,0.9999961853027344,Negative
PROSTARM,General Updates,Appointment of Company Secretary / Compliance Officer,03-Jun-2025 18:26:38,https://nsearchives.nseindia.com/corporate/PROSTARM_03062025182423_SE_CS.pdf,-0.9993486293242313,0.9996296167373657,Negative
ICICIPRULI,General Updates,ICICI Prudential Life Insurance Company Limited has informed the Exchange about General Updates,03-Jun-2025 18:24:26,https://nsearchives.nseindia.com/corporate/ICICIPRULI_03062025181757_SE_intimation_signed.pdf,-0.9999867615824769,0.9999905824661255,Negative
PIDILITIND,Action(s) initiated or orders passed,Pidilite Industries Limited has informed the Exchange about Action(s) initiated or orders passed,03-Jun-2025 18:24:13,https://nsearchives.nseindia.com/corporate/Nisha_03062025182255_SEIntimationpenalty.pdf,-0.9998477312437899,0.9998980760574341,Negative
BERGEPAINT,Analysts/Institutional Investor Meet/Con. Call Updates,Berger Paints (I) Limited has informed the Exchange about Schedule of meet,03-Jun-2025 18:22:20,https://nsearchives.nseindia.com/corporate/PAINTBERGE_03062025182209_Investoranalyst_call.pdf,-0.999993108546505,0.9999955892562866,Negative
