Company,Headline,Time,Link,Scraped_At,Announcement_Datetime,pdf_link,Annoucement_Description,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
Permanent Magnet,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,11m ago,https://www.screener.in/company/PERMAGNET/consolidated/,2025-05-20T10:07:31.187419,2025-05-20 09:56:31.187419,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b6925620-3bdd-4b3b-a3f9-6f37391b8a77.pdf,financial results for the quarteryearended march 2025 of ala engineering limited will be held on friday may 2025 at 04.30 p.m. the management team will discuss the financial performance of the company and answer the questions. chorus call helpdesk 91 22 7195 1111 toll free 1 800 120 1441 chorus call toll free 1 22 6280 1282. chorus call telephone 91 22 7115 8183 choruss call chorus. call the chorus.,0.6908,0.14571428571428574,0.012333564460277557,0.32373435505236897,Positive
Sakthi Sugars,Board Meeting Intimation for Considering Audited Financial Results For The Quarter And Year Ended 31.03.2025.,16m ago,https://www.screener.in/company/SAKHTISUG/,2025-05-20T10:08:01.391718,2025-05-20 09:52:01.391718,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6f936f17-f17f-4cd3-b838-51a05c93b165.pdf,board meeting for considering audited financial results for the quarter and year ended . meeting of the board of directors of the company has been convened on may 2025 at the head office.,0.0,0.0,0.015629377216100693,0.004688813164830208,Neutral
Mangalam Industr,Announcement under Regulation 30 (LODR)-Newspaper Publication,16m ago,https://www.screener.in/company/537800/,2025-05-20T10:08:12.534229,2025-05-20 09:52:12.534229,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d1a529fd-d7f2-453a-9b71-2a6c69a297fc.pdf,pursuant to regulation 47 and 30 of sebi lodr regulations 2015 as amended from time to time please find herewith copies of newspaper advertisement for audited standalone financial results of the company for the fourth quarter and financial year ended on march 2025. the aforesaid publication will also be made available on the website of the company a universal 10 % base line tariff on all audiovisual imports effective 10 april 2025 adds additional costs. platforms that have invested heavily in indian originals with crossborder appeal may face cost escalation. netflix amazon prime video warner bros and others that produce and export indian originals could be affected. subscription revenue often benefits from favourable tax treatment as business profits under article 7 of the indiaus double taxation avoidance treaty. advertising revenue often triggers us sourcing rules and could result in taxable ussource income.,0.8074,-6.1679056923619804e-18,-0.017928004264831543,0.3175815987205506,Positive
M & M,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011",14m ago,https://www.screener.in/company/M&M/consolidated/,2025-05-20T10:19:13.265046,2025-05-20 10:05:13.265046,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=948FDC2B_3122_41D1_BCAD_DFCF4C80D660_100417.pdf,disclosure under regulation 292 of sebi substantial acquisition of shares and takeovers regulations 2011. mrs. anuja p. sharma the seller belongs to the promoter promoter group of mm. anuja p. sharma shares encumbered invokedreleased by the acquire. total ai.cd 225577648 18.14 1350 0.00% 2350. total share capital voting c.ipital to be taken as per the latest filing done by the company. mrs. anuja p. sharma is the owner of the company. the company is based in bcngaluru a suburb of bangalore karnataka.,0.7506,0.16666666666666666,-0.035561829805374146,0.5395714510583878,Positive
Umiya Buildcon,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011",14m ago,https://www.screener.in/company/UMIYA-MRO/consolidated/,2025-05-20T10:20:02.782942,2025-05-20 10:06:02.782942,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=948FDC2B_3122_41D1_BCAD_DFCF4C80D660_100417.pdf,disclosure under regulation 292 of sebi substantial acquisition of shares and takeovers regulations 2011. mrs. anuja p. sharma the seller belongs to the promoter promoter group of mm. anuja p. sharma shares encumbered invokedreleased by the acquire. total ai.cd 225577648 18.14 1350 0.00% 2350. total share capital voting c.ipital to be taken as per the latest filing done by the company. mrs. anuja p. sharma is the owner of the company. the company is based in bcngaluru a suburb of bangalore karnataka.,0.7506,0.16666666666666666,-0.035561829805374146,0.5395714510583878,Positive
Cosmo Ferrites,"Board Meeting Intimation for Approval Of Audited Financial Results For The Quarter And Year Ended March 31, 2025.",16m ago,https://www.screener.in/company/523100/,2025-05-20T10:20:46.627037,2025-05-20 10:04:46.627037,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1a808de6-9856-47b0-aca4-bbe5e18d647c.pdf,the board of directors of cosmo ferrites limited is scheduled to meet on friday day of may 2025 to consider and approve the audited financial results of the company.,-0.2263,-0.03571428571428571,0.06014969199895859,0.08318937811459814,Neutral
Monte Carlo Fas.,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,16m ago,https://www.screener.in/company/MONTECARLO/,2025-05-20T10:20:56.175840,2025-05-20 10:04:56.175840,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=90e167a1-d8cb-4e2f-8018-7a21426ffe10.pdf,monte carlo fashions limited is pleased to invite you for a conference call to discuss q4fy25 results. the conference call will be held on tuesday may 27 2025 at 1100 am ist . for confidential support call the samaritans on 08457 90 90 90 visit a local samaritans branch or click here for details.,0.6486,0.14285714285714288,0.8078010678291321,0.5446374632058825,Positive
Expo Gas Contain,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011",17m ago,https://www.screener.in/company/526614/,2025-05-20T10:21:15.661434,2025-05-20 10:04:15.661434,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=948FDC2B_3122_41D1_BCAD_DFCF4C80D660_100417.pdf,disclosure under regulation 292 of sebi substantial acquisition of shares and takeovers regulations 2011. mrs. anuja p. sharma the seller belongs to the promoter promoter group of mm. anuja p. sharma shares encumbered invokedreleased by the acquire. total ai.cd 225577648 18.14 1350 0.00% 2350. total share capital voting c.ipital to be taken as per the latest filing done by the company. mrs. anuja p. sharma is the owner of the company. the company is based in bcngaluru a suburb of bangalore karnataka.,0.7506,0.16666666666666666,-0.035561829805374146,0.5395714510583878,Positive
Tankup Engi.,Price movement,16m ago,https://www.screener.in/company/TANKUP/,2025-05-20T10:21:56.266152,2025-05-20 10:05:56.266152,https://nsearchives.nseindia.com/corporate/sjahnavi_20052025095836_Clarification_to_NSE_regarding_price_sensative_infromation.pdf,the company is in compliance with sebi lodr regulations 2015. the movement in the companys share price is purely market driven and owing to the market conditions on which the company neither has any control nor has any knowledge of the reasons.,0.296,0.21428571428571427,0.2432846873998642,0.25567112050567353,Positive
JSW Infrast,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011",18m ago,https://www.screener.in/company/JSWINFRA/consolidated/,2025-05-20T10:22:10.985256,2025-05-20 10:04:10.985256,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=948FDC2B_3122_41D1_BCAD_DFCF4C80D660_100417.pdf,disclosure under regulation 292 of sebi substantial acquisition of shares and takeovers regulations 2011. mrs. anuja p. sharma the seller belongs to the promoter promoter group of mm. anuja p. sharma shares encumbered invokedreleased by the acquire. total ai.cd 225577648 18.14 1350 0.00% 2350. total share capital voting c.ipital to be taken as per the latest filing done by the company. mrs. anuja p. sharma is the owner of the company. the company is based in bcngaluru a suburb of bangalore karnataka.,0.7506,0.16666666666666666,-0.035561829805374146,0.5395714510583878,Positive
Sansera Enginee.,Board Meeting Intimation for Approval Of Audited Results And Dividend Of FY25 If Approved By The Board.,19m ago,https://www.screener.in/company/SANSERA/consolidated/,2025-05-20T10:22:49.941857,2025-05-20 10:03:49.941857,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f0508f8a-4fb6-4021-ad4e-63170fc5d400.pdf,board of directors of the company is scheduled to be held on tuesday may 27 2025. meeting will consider audited financial results and recommendation of dividend. trading window for dealing in the securities of the company is already closed.,0.296,-0.05,-0.07027417421340942,0.2823177477359772,Positive
Cummins India,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,19m ago,https://www.screener.in/company/CUMMINSIND/,2025-05-20T10:23:01.765105,2025-05-20 10:04:01.765105,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=90e167a1-d8cb-4e2f-8018-7a21426ffe10.pdf,monte carlo fashions limited is pleased to invite you for a conference call to discuss q4fy25 results. the conference call will be held on tuesday may 27 2025 at 1100 am ist . for confidential support call the samaritans on 08457 90 90 90 visit a local samaritans branch or click here for details.,0.6486,0.14285714285714288,0.8078010678291321,0.5446374632058825,Positive
Mangalam Cement,"Disclosures under Reg. 10(5) in respect of acquisition under Reg. 10(1)(a) of SEBI (SAST) Regulations, 2011",19m ago,https://www.screener.in/company/MANGLMCEM/,2025-05-20T10:23:21.670880,2025-05-20 10:04:21.670880,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=AD184F6A_E2C3_45D5_9DAF_667180B2C02E_095831.pdf,the company has received intimations from vidula consultancy services limited and rambara trading private limited under regulation 105 sebi substantial acquisition of shares and takeovers regulations 2011 regarding the transfer of 500000 equity shares of mangalam cement ltd. the shares are proposed to be acquired at prevailing market price. digitally signed by pawan kumar thakur ceo of mangalam cement ltd. the proposed acquisition is subject to sebi regulation 105 intimation to stock exchanges. the acquisition price will not be higher by more than 25% of the price computed in point 6 above. the transferor and transferee have complied will comply with the regulations.,0.5574,0.05505952380952381,0.051253873854875565,0.45485401929931984,Positive
BirlaNu Ltd,Announcement under Regulation 30 (LODR)-Investor Presentation,8m ago,https://www.screener.in/company/BIRLANU/consolidated/,2025-05-20T10:34:23.613038,2025-05-20 10:26:23.613038,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=81833b49-0b0a-4dc4-916b-619f4d6fd079.pdf,birlanu limited formerly hil limited has been a pioneer in redefining the art of creating home and building solutions. the nu stands for reinvention and fresh perspectives symbolizing a modern global reboot. birlanu is a global leader in home and building solutions. the company is inspired by the people we serve and driven by a passion for continuous growth. birlanu is a leading global provider of sustainable home building solutions. the companys mission is to empower homeowners and builders.,0.9118,0.044642857142857144,0.8765314221382141,0.6410722837843215,Positive
Sahaj Solar,Updates,10m ago,https://www.screener.in/company/SAHAJSOLAR/,2025-05-20T10:34:51.309829,2025-05-20 10:24:51.309829,https://nsearchives.nseindia.com/corporate/SahajSolar_20052025102148_200525SSLIntimationforNewletter.pdf,sahaj solar has expanded into transformers and switchgears domain. sahaj solars expansion into power infrastructure through its subsidiary veracity powertronics pvt. ltd. marks a significant step forward. sahajsolar has launched veracity recycler pvt. ltd. to address the growing challenge of solar waste. sahaj solar limited offers an advanced antisoiling nanopocoating solution for solar panels. empowering rural maharashtra by installing 27 solar pumps to boost agriculture and livelihoods in dhule. ining panel cleanliness and significantly improving energy output and overall system efficiency.,0.9169,0.12232142857142858,0.7845056056976318,0.6388081102807182,Positive
Infosys,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS,13m ago,https://www.screener.in/company/INFY/consolidated/,2025-05-20T10:35:18.005698,2025-05-20 10:22:18.005698,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3fedc5a5-2330-4f26-b754-30c38a55dca8.pdf,effective from may 20 2025 the issued and subscribed share capital of the company will be increased to 20771066570. this will be divided into 4154213314 equity shares of face value of 5 each.,0.875,0.6,0.057009585201740265,0.5471028755605221,Positive
Onward Technolog,Compliances-Reg.24(A)-Annual Secretarial Compliance,18m ago,https://www.screener.in/company/ONWARDTEC/consolidated/,2025-05-20T10:35:29.749489,2025-05-20 10:17:29.749489,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=709ff097-6a40-460e-b8d7-bea4ab4e7922.pdf,annual secretarial compliance report for the year ended march 31 2025 issued by ms nilesh a pradhan co. llp company secretaries and secretarial auditor. the specific regulations whose provisions and the circulars guidelines issued thereunder have been examined include . securities contracts regulation act 1956 scra rules made thereunder and the regulations circulars guidelines issued by the securities and exchange board of india sebi the compliances of the listed entity are in accordance with the applicable secretarial standards ss issued by the institute of company secretaries of india icsi,0.5267,0.0,-0.005592085421085358,0.20900237437367436,Positive
Rajesh Power,Announcement under Regulation 30 (LODR)-Investor Presentation,9m ago,https://www.screener.in/company/544291/,2025-05-20T10:48:42.085834,2025-05-20 10:39:42.085834,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=99d45198-6a90-4950-939c-c97ee3ddfad1.pdf,rajesh power services limited is one of the largest turnkey epc solutions provider for specialized mvcc medium voltage covered conductor with over 11100 kms. the company has undertaken and successfully completed and commissioned majority projects before the scheduled completion date. rajesh power services ltd got listed at a valuation of 1146 cr on december 2024 on bse sme platform. crisil ratings has upgraded its ratings on the bank facilities of rpsl to crisil bbbstablecrisil a2 ysis provides strategic consulting for ehv substations. customers include getco grasim ltd. iocl srf ltd. upl saintgobain torrent and nddb.,0.4588,0.3392857142857143,0.6544185280799866,0.48163127270971023,Positive
Markolines Pavem,Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order,10m ago,https://www.screener.in/company/543364/,2025-05-20T10:49:30.041165,2025-05-20 10:39:30.041165,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=689c0ee4-2933-4818-b280-17f525da93f8.pdf,the company has received a work order worth rs.247498281 inclusive of gst from varanasi aurangabad nh2 tollway pvt. ltd. the details of the work order are mentioned in annexurei to this letter. we confirm that all the work orderscontracts are received from domestic entities. execution of rehabilitation overlay dbm for periodic maintenance works at varanasi aurangabad nh2 tollway pvt. ltd. formerly markolines traffic controls ltd. cin l99999mh2002plc156371.,0.2263,0.09999999999999999,0.08459816873073578,0.14589945061922074,Positive
Resonance Speci.,Announcement under Regulation 30 (LODR)-Newspaper Publication,11m ago,https://www.screener.in/company/524218/,2025-05-20T10:50:00.973799,2025-05-20 10:39:00.973799,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0d29385e-dcf8-4668-819d-245932dd7234.pdf,revelation of results for the quarter and financial year ended march 31 2025 approved by directors in the board meeting held on may 19 2025. published on may 20 2025 in business standard all editions and nav shakti in marathi the undersigned being the authorized officer of axis finance limited hereinafter referred to as the aflsecured creditor a company incorporated under the provision of the companies act 1956 and a nonbanking financial company registered under the reserve bank of india act 1934. at the request of borrower sanctioned one loan against property and one housing loan against immovable property being all that part and parcel of residential flat no 1104 floor s1 tower deva ashoka vaity vasi jijamata nagar thane. you have signed and executed the loan agreements dated november 2022 and august 2023 in your capacity as borrower coborrowers and mortgagor. you have become jointly and severally liable for the repayments.,0.1779,-0.03273809523809524,0.0029558278620243073,0.06222531978717872,Neutral
Northern ARC,Announcement under Regulation 30 (LODR)-Investor Presentation,11m ago,https://www.screener.in/company/NORTHARC/,2025-05-20T10:50:53.860936,2025-05-20 10:39:53.860936,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=99d45198-6a90-4950-939c-c97ee3ddfad1.pdf,rajesh power services limited is one of the largest turnkey epc solutions provider for specialized mvcc medium voltage covered conductor with over 11100 kms. the company has undertaken and successfully completed and commissioned majority projects before the scheduled completion date. rajesh power services ltd got listed at a valuation of 1146 cr on december 2024 on bse sme platform. crisil ratings has upgraded its ratings on the bank facilities of rpsl to crisil bbbstablecrisil a2 ysis provides strategic consulting for ehv substations. customers include getco grasim ltd. iocl srf ltd. upl saintgobain torrent and nddb.,0.4588,0.3392857142857143,0.6544185280799866,0.48163127270971023,Positive
GE Shipping Co,Compliances-Reg.24(A)-Annual Secretarial Compliance,3m ago,https://www.screener.in/company/GESHIP/consolidated/,2025-05-20T11:02:00.507167,2025-05-20 10:59:00.507167,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4df845b9-f4ba-4376-84fb-6d596053abc3.pdf,the great eastern shipping company limited geship is an indian shipping company. geships trading symbol is gesip. the company is based in mumbai india.,0.4939,0.3642857142857143,0.08947689831256866,0.33368878377948485,Positive
Khaitan Chemical,"We Wish To Inform That All Material Information That May Have A Bearing On The Operations/Performance Of The Company, Which Includes All The Necessary Disclosures In Accordance With Regulation 30 Of The SEBI (LODR) Regulations, 2015, Have Been Regularly Disclosed To The Stock Exchange By The Company In A Timely And Accurate Manner And Not Withheld Any Material Information Which Could Have A Substantial Bearing On The Market Price/Volume Of The Company To The Best Of Our Knowledge.",3m ago,https://www.screener.in/company/KHAICHEM/,2025-05-20T11:02:14.584995,2025-05-20 10:59:14.584995,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1be2b0e-5bc3-4f2a-bb74-6bab9cc113e0.pdf,disclosures in accordance with regulation 30 of the sebi listing obligations and disclosure requirements 2015 have been regularly disclosed to the stock exchange by the company. we would be glad to furnish any other clarification if required in this regard.,0.4588,0.125,0.33086302876472473,0.32027890862941744,Positive
Madhucon Project,Compliances-Reg.24(A)-Annual Secretarial Compliance,5m ago,https://www.screener.in/company/MADHUCON/consolidated/,2025-05-20T11:02:26.484186,2025-05-20 10:57:26.484186,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4df845b9-f4ba-4376-84fb-6d596053abc3.pdf,the great eastern shipping company limited geship is an indian shipping company. geships trading symbol is gesip. the company is based in mumbai india.,0.4939,0.3642857142857143,0.08947689831256866,0.33368878377948485,Positive
Gandhi Spl. Tube,Board Meeting Intimation for The Meeting Scheduled To Be Held On 28 May 2025,6m ago,https://www.screener.in/company/GANDHITUBE/,2025-05-20T11:02:35.214706,2025-05-20 10:56:35.214706,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=de873e49-8b74-4acd-b47a-fe54c4ccabc9.pdf,board of directors of gandhi special tubes limited to meet on 28 may 2025. meeting to consider and approve audited financial results for the fourth quarter and financial year ended 31 march 2025. trading window for dealing in the companys shares was closed from 1 april 2025.,0.4588,0.03095238095238095,-0.037383195012807846,0.18159075578187195,Positive
Crestchem,Announcement Under Regulation 30 ( LODR) Reclassification Of Promoter Under Regulation 31A Of SEBI LODR 2015,6m ago,https://www.screener.in/company/526269/,2025-05-20T11:02:46.302745,2025-05-20 10:56:46.302745,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b9b5436f-14d7-4dc1-859b-091cf9013818.pdf,crestchem limited has received approval from the stock exchanges for reclassing from the promoter and promoter group category to the public category. the approval letters as received from stock exchanges are enclosed herewith.,0.6486,-0.03571428571428571,0.40011170506477356,0.36875922580514636,Positive
Savita Oil Tech,Earnings Release Of Q4 & FY 2024-25 Financial Results,7m ago,https://www.screener.in/company/SOTL/,2025-05-20T11:13:29.795907,2025-05-20 11:06:29.795907,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f6bd32ca-0ffe-487e-9839-f5d0eae0fcec.pdf,income 1011.7 951.8 6.3% 3859.7 3812.1 1.2% ebitda 54.4 55.8 2.5% 28.3 92.2 207.8 36.0% profit before tax 42.4 crores 41.0%. profit before tax margin % 4.2 % 3.9% diesel exhaust fluid def recorded robust yearonyear growth of 80% led by growth in bsvi engines that meet the stricter emission norms. several valueadded products are currently in the rd pipeline with a few expected to be commercialized this year and several more in coming years. savita was one of the first corporates in india to commence investing in renewable energy way back in 1999. savita currently generates renewable energy from wind at 18 sites in india.,0.9246,0.045,0.6787735819816589,0.5869720745944977,Positive
Stallion India,"Earning Release On Audited Financial Results For The Quarter And Financial Year Ended 31St March, 2025",8m ago,https://www.screener.in/company/STALLION/,2025-05-20T11:14:59.068789,2025-05-20 11:06:59.068789,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=28984ca3-4896-4cf6-bbb5-c1d3e4c657b0.pdf,stallion india fluorochemicals limited sifl has unveiled its audited financial results for q4 fy25. sifl is a leading integrated player in refrigeration and industrial gas operates as a critical link in industrial gas supply chain. stallion indias q4 fy25 revenue grew by 41.75% over q3 fy25. profit after tax pat rose by 35.44% qoq to 13.27 crores. stallion india fluorochemicals limited stands as a specialized leader in india. stallion is wellpositioned to deliver sustainable and longterm value for all stakeholders.,0.0516,0.09142857142857144,0.7528103590011597,0.27391167912891934,Positive
