Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Tech_Indicator
The Yamuna Syndicate Ltd,"Audited Standalone And Consolidated Financial Results For The Quarter And Financial Year Ended March 31, 2025","The Board of Directors in its meeting of date ie May 30, 2025 considered and approved standalone and consolidated audited financial results for the quarter and financial year ended March 31, 2025",30-05-2025 13:39:41,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e6220531-cece-4487-9048-78e1f287187f.pdf,0.7096,-0.0166666666666666,-0.014854323118925,0.2743837030643225,Positive,,
DHP India Ltd,The Board Meeting Dated 30/05/2025 Approve The Audited Financial Results Of Year Ended 31/03/2025,The Board Meeting dated 30/05/2025 approve the Audited Financial Results of Year Ended 31/03/2025,30-05-2025 13:38:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9fdac3b8-efe0-4e94-b1e2-882d2207b6e1.pdf,0.3818,0.0241071428571428,0.0747366547584533,0.1823731392846788,Positive,,
PEARL Polymers Ltd,Results For The Financial Year Ended 31.03.2025,Results,30-05-2025 13:36:51,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747e6f68-1739-41fc-9222-3024c3dbaef4.pdf,0.9201,0.0511488511488511,0.1059517264366149,0.4151701732756399,Positive,,
SGN Telecoms Ltd,Financial Results For The Quarter & Year Ended 31-03-2025,Financial Results for the quarter & year ended 31-03-2025,30-05-2025 13:36:42,https://www.bseindia.com/xml-data/corpfiling/AttachLive/60abb291-6d03-4982-ab7b-ae7cc13b0b5f.pdf,0.9246,-0.0238095238095238,0.0767120718955993,0.3857107644258227,Positive,,
Darshan Orna Ltd,"Audited Standalone Financial Results For The Quarter And Financial Year Ended 31St March, 2025",The Board of Directors of the company in its meeting held today on 30th May 2025 has approved the Audited Standalone Financial Results for the Quarter and Financial Year ended 31st March 2025,30-05-2025 13:36:13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5dbbcadb-bed2-4124-98eb-5d2e15aac27c.pdf,0.8779,0.0152777777777777,-0.0012618452310562,0.3553647797640165,Positive,,
Terraform Magnum Ltd,"Outcome Of Board Meeting And Disclosure Under SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015.","Approval of Financial Results for the Year ended 31st March, 2025.",30-05-2025 13:34:51,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5b1761c5-2ffc-4894-86d5-32d752087c87.pdf,0.8271,-0.0138095238095238,-0.0081829354166984,0.3242422622321333,Positive,,
White Organic Agro Ltd,"Submission Of Annual Audited Financial Results Of The Company For The Quarter And Financial Year Ended 31St March, 2025",Stakeholder are requested to take on record Annual Audited Financial Result for the Quarter and year ended 31st March 2025 along with the statement on impact of Audit qualification issued .... Read More..,30-05-2025 13:34:11,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f6e297f1-2f28-456a-9dec-61a403e59335.pdf,-0.4215,0.040794499618029,0.1141023114323616,0.1221309566848828,Negative,,
Hira Automobiles Ltd,OUTCOME OF BOARD MEETING INTEGRATED FILING FINANCIALS FOR THE QUARTER AND FINANCIAL YEAR ENDED ON 31-03-2025,Please find enclosed the above results,30-05-2025 13:32:39,https://www.bseindia.com/xml-data/corpfiling/AttachLive/acddcc01-8ddd-48f2-aabd-679bfe95fa24.pdf,0.9042,0.023469387755102,0.1389674246311187,0.4104110437158663,Positive,,
Shivam Chemicals Ltd,"Outcome Of Board Meeting Held To Consider And Approve Audited Financial Results For The Half Year And Year Ended 31St March, 2025","Considered and approved Standalone and Consolidated Financial Results for the half year and year ended 31st March, 2025",30-05-2025 13:28:04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b39708a4-2331-4972-8ce3-54560bda1295.pdf,0.8442,-0.0277777777777777,-0.040437314659357,0.3172154722688595,Positive,,
Unknown,Audited Standalone And Consolidated Financial Results For The Quarter And Financial Year Ended 31 March 2025,We hereby Submit: 1. Audited Standalone and Consolidated Financial Results for year ended 31 march 2025 and Dividend 2. Press Release,30-05-2025 13:26:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/521053e8-5f3a-4f25-ad53-681d4071197b.pdf,0.8225,-0.0705782312925169,0.026678942143917,0.51583021325542,Positive,,
Kiri Industries Ltd,"Outcome Of The Board Meeting In Compliance Of Regulation 30 And 33 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015",Enclosed herewith Outcome of Board Meeting.,30-05-2025 13:18:19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1b653158-f894-46d9-83f3-d9b50e7e184b.pdf,0.6808,-0.0183150183150183,0.1132310852408409,0.3007948200777468,Positive,,
Polson Ltd,"Audited Results For The Quarter And Year Ended March 31, 2025","This is to inform you that inter alia, the following is the outcome of the meeting of the board of Directors of the Co. held today has considered and approved following; 1. The Audited .... Read More..",30-05-2025 13:17:27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8c4493cb-0573-4bbe-bbe3-85f395c9ed5b.pdf,0.4939,0.13,0.053129892796278,0.2524989678388834,Positive,,
Neelamalai Agro Industries Ltd,Financial Results For The Year Ended 31St March 2025,Financial Results for the year ended 31st March 2025,30-05-2025 13:16:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fd17be53-85fe-4b8d-99b8-33b4a7359780.pdf,0.9186,-0.0243589743589743,0.0002928264439105,0.5602201556254809,Positive,,
Zenith Exports Ltd,"Outcome Of Board Meeting In Accordance With Regulation 30 And 33 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations'2015 Pertaining To Audited Financial Results For The Quarter And Year Ended March 31, 2025.","OUTCOME OF BOARD MEETING WITH RESULTS FOR AUDITED FINANCIAL RESULTS FOR THE QUARTER & YEAR ENDED 31ST MARCH, 2025",30-05-2025 13:13:27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3f89a13e-ed4d-411d-a0af-7615004bc400.pdf,0.8591,-0.0142857142857142,0.012085810303688,0.3429800288053921,Positive,Inverse Head and Shoulders,
Valiant Communications Ltd-$,Audited Financial Results For Financial Year Ended 31-03-2025,As attached,30-05-2025 13:12:08,https://www.bseindia.com/xml-data/corpfiling/AttachLive/534bdf1a-9c87-42f9-990a-7aef0a6859c4.pdf,0.9403,-0.0170486376368729,0.0420008860528469,0.5836056745247922,Positive,,
Sangal Papers Ltd,Results- Financial Results For Year Ended 31/03/2025,Financial Results for the quarter and year ended on 31.03.2025,30-05-2025 13:10:55,https://www.bseindia.com/xml-data/corpfiling/AttachLive/858e74af-d330-4075-b05f-1bb30ff2cf7f.pdf,0.7906,0.1098214285714285,0.0388310104608535,0.3608357317096846,Positive,,
Mehta Integrated Finance Ltd,Considered And Approved The Audited Financial Results For The Quarter And Financial Year Ended On 31.03.2025,considered and approved the audited finanacial results for the quarter and financial year ended 31.03.2025,30-05-2025 13:10:24,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2e4c76f7-19be-4113-9b88-c71a129cec27.pdf,0.9118,0.1031746031746031,0.0520688742399215,0.4112930432243574,Positive,,
Rudra Global Infra Products Ltd,"Submission Of Revised Audited Financial Result Of The Company For Quarter And Year Ended On March 31, 2025","Submission of Revised Audited Financial Result for quarter and year ended on March 31, 2025.",30-05-2025 13:07:46,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8d872bee-e5c5-43e1-a57d-3f3892741aab.pdf,0.9022,0.0437074829931972,-0.0077461376786231,0.3716684035943722,Positive,,
Indian Card Clothing Company Ltd,"Annual Audited Standalone And Consolidated Financial Results Of The Company For The Quarter And Year Ended March 31, 2025","Financial Results for the quarter and year ended March 31, 2025",30-05-2025 13:00:55,https://www.bseindia.com/xml-data/corpfiling/AttachLive/90a19cab-aa3c-4c74-b5ad-d9244a82aa67.pdf,0.6249,-0.0769841269841269,0.0071310102939605,0.2290040649929501,Positive,,"Supertrend, ADX Signal"
Filmcity Media Ltd,"Audited Standalone Financial Results Of The Company For The Quarter And Year Ended March 31, 2025.","Please find herewith the Audited Standalone Financial Results of the Company for the Quarter and Year Ended March 31, 2025",30-05-2025 12:58:14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f441a6a1-772f-4a8d-a2bf-d20000f1fbfd.pdf,0.8271,0.0316849816849816,0.0773868709802627,0.3635615557995733,Positive,,
LWS Knitwear Ltd,Results For The Financial Year Ended 31St March 2025,Results for the Financial year ended 31st March 2025,30-05-2025 12:56:43,https://www.bseindia.com/xml-data/corpfiling/AttachLive/34727b09-9152-4125-ba67-d56ec2f44976.pdf,0.9022,0.028641456582633,-0.130815714597702,0.3302277225954793,Positive,,
MFL India Ltd,Results-Financial Results For The Quarter And Year Ended 31.03.2025,Financial Results for the quarter and year ended 31.03.2025,30-05-2025 12:40:57,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7cc6bcb7-b466-4c6a-baf0-2df6f1ac7ad2.pdf,-0.2263,0.0015873015873015,-0.0199033878743648,0.0960148258861189,Neutral,,
H S India Ltd,"Audited Financial Results For The Quarter And Year Ended On 31St March, 2025.","Considered and approved the Audited Financial Statements for the year ended 31st March, 2025 and Statement of Audited Financial Results alongwith Auditors'' Report of the Company for the .... Read More..",30-05-2025 12:40:18,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b3f1734f-3e5f-4a1c-9acf-a623343abcb9.pdf,0.9042,0.044235588972431,0.0915521308779716,0.4024163159551208,Positive,,
Sri Ramakrishna Mills Coimbatore Ltd-$,AUDITED FINANCIAL RESULTS FOR THE FOURTH QUARTER & YEAR ENDED 31.03.2025,AUDITED FINANCIAL RESULTS FOR THE FOURTH QUARTER & YEAR ENDED 31.03.2025,30-05-2025 12:32:35,https://www.bseindia.com/xml-data/corpfiling/AttachLive/353a7360-f061-4fc8-a1aa-c2f51876661c.pdf,0.5267,0.0,0.073802538216114,0.2328207614648341,Positive,,
Vinayak Polycon International Ltd,"Audited Financial Results For The Fourth Quarter And Year Ended March 31, 2025","Audited Financial result for the fourth quarter and year ended March 31,2025",30-05-2025 12:27:26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/139826d0-d663-49fb-b54c-f19fc348b4ad.pdf,0.9423,0.0801120448179271,0.0518975183367729,0.41652286894641,Positive,,
United Interactive Ltd,"Audited Financial Results For The Quarter And Financial Year Ended March 31, 2025","Please find attached, the aforesaid results.",30-05-2025 12:25:07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/eba82962-a7fd-4f57-85cf-ecd5ba3cf965.pdf,0.5267,0.0133923768539153,0.1596081554889679,0.2625801597028649,Positive,,
Simplex Castings Ltd,"OUTCOME OF THE BOARD MEETING HELD ON 30TH MAY, 2025","PLEASE FIND THE OUTCOME OF THE BOARD MEETING HELD ON 30TH MAY, 2025.",30-05-2025 12:23:59,https://www.bseindia.com/xml-data/corpfiling/AttachLive/49eed885-f056-472d-82e7-098d03fb5ff0.pdf,0.5423,-0.0244897959183673,-0.0231651067733764,0.2026235291924768,Positive,,
Kratos Energy & Infrastructure Ltd,REVISED DECLARATION OF STANDALONE FINANCIAL RESULTS FOR QUARTER AND YEAR ENDED 31ST MARCH 2025,REVISED DECLARATION OF STANDALONE FINANCIAL RESULTS FOR QUARTER AND YEAR ENDED 31ST MARCH 2025,30-05-2025 12:20:06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0c694316-24f7-4180-bb14-59c0dd4ddafe.pdf,0.6808,0.0157738095238095,0.0920449793338775,0.3046656366573061,Positive,,
Tirupati Fincorp Ltd,Results-Delay in Financial Results,"We submit herewith the Financial statements along with the Independent audit report with an unmodified opinion for the year ended March 31, 2025 approved in its Board meeting 29 may, 2025",30-05-2025 12:17:43,https://www.bseindia.com/xml-data/corpfiling/AttachLive/835ce5ee-8c92-4cb9-8275-7a76cc3dbe87.pdf,0.6705,0.0285714285714285,0.0168213546276092,0.2818178349597113,Positive,,
Brilliant Portfolios Ltd,Financial Results For The Period Ended 31St March 2025,Financial Results for the period ended 31st March 2025,30-05-2025 12:09:20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3165c2d5-0577-4a07-b5f1-27e554470b6e.pdf,0.0,0.0,-0.0239205807447433,0.007176174223423,Neutral,,
Lee & Nee Softwares Exports Ltd,Audited Financial Results For The Quarter And Year Ended 31.03.2025,Audited financial results for the quarter and year ended 31.03.2025,30-05-2025 12:02:13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8dd7927b-5ab3-4468-921f-8e815283725e.pdf,0.7655,0.04,0.0716927498579025,0.5397078249573708,Positive,,
Galada Power & Telecommunication Ltd,"Financial Results For March 31, 2025",Letter attached,30-05-2025 11:48:16,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2aae138c-fc46-4632-8127-7a8fd5de92f0.pdf,-0.1779,0.0322751322751322,0.1351692080497741,0.020926697902528,Neutral,,
Super Tannery Ltd,FINANCIAL RESULT FOR 31-MAR-2025,SUPER TANNERY LIMITEDRead less..,Unknown Time,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1eead783-d318-4990-8f7f-2b6e3709d12e.pdf,0.9753,0.1117216117216117,0.0103099569678306,0.6267294706068327,Positive,,
Accel Ltd,Audited Standalone And Consolidated Financial Results,Outcome of Board Meeting Held on 29th May 2025-Audited Standalone and Consolidated Financial Results.Read less..,Unknown Time,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fcec205e-bb00-4158-8334-58b8f5cda9d6.pdf,0.9201,0.0115826330532212,0.0873239040374755,0.597711961127209,Positive,,
ZR2 Bioenergy Ltd,"Audited Financial Result For The Quarter And Year Ended March 31, 2025","Audited financial result for the quarter and year ended March 31, 2025",30-05-2025 11:09:35,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7f9d73ec-0d5f-47ba-a1ad-3501eff6c919.pdf,0.9081,0.0393939393939394,0.025869283825159,0.3828189669657296,Positive,,
Howard Hotels Ltd,Results-Financial Results For The Quarter And Financial Year Ended 31.03.2025.,Financial Results for the Quarter and Financial Year ended 31.03.2025.,30-05-2025 10:51:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fefc7923-578a-4e09-804d-1067a1a3677f.pdf,0.7845,-0.0310374149659863,-0.0060609839856624,0.3026704803145053,Positive,,
HOV Services Ltd,"HOV Services Limited Has Informed The Exchange Regarding Outcome Of Board Meeting Held On May 30, 2025 Along With Audited Results And Other Disclosures Matter.","Financial results and outcome of Board meeting held on May 30, 2025",30-05-2025 10:41:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/50a3d064-5613-48da-a05d-662460c463d3.pdf,0.8519,-0.0317765567765567,-0.0198182500898838,0.3252815579400678,Positive,,
Teesta Agro Industries Ltd,Result For Year Ended 31.03.2025,Audited Financial Results for the year ended 31.03.2025,30-05-2025 13:46:59,https://www.bseindia.com/xml-data/corpfiling/AttachLive/982e7bdc-f1a1-4e75-84e1-1dcda622baa6.pdf,0.946,0.11,0.0867158472537994,0.4374147541761398,Positive,,
Sharda Ispat Ltd,"Financial Results For The Quarter And Year Ended 31St March, 2025","Financial results for the Quarter and year ended 31st March, 2025.",30-05-2025 13:46:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ddc5bceb-19b0-472c-977f-2dae98ea74cd.pdf,0.4215,0.0298701298701298,-0.0160610824823379,0.1727427142163375,Positive,,
Reliance Chemotex Industries Ltd-$,"Financial Results For The Quarter And Year Ended On 31St March, 2025","Pursuant to the provisions of regulation 30 & 33 of SEBI (LODR), financial results for the quarter and year ended on 31st March, 2025 has been considered and approved by the board in its .... Read More..",30-05-2025 13:43:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c862d715-10bb-4c0e-ad22-8acb0e23209c.pdf,0.836,-0.0354166666666666,0.0031080618500709,0.3247074185550213,Positive,Volume Spike,
Dynemic Products Ltd,"Results-Financial Results For March 31, 2025","Results-Financial Results for March 31, 2025",30-05-2025 13:41:28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6a0b2cad-5e20-4f2b-8ca0-874b00f25ab1.pdf,0.9313,0.0545454545454545,0.1116425096988678,0.4223763892732967,Positive,Volume Spike,MACD Crossover
Ganon Products Ltd,FINANCIAL RESULT FOR 4TH QTR AND YEAR ENDED 31.03.2025,FINANCIAL RESULT FOR 4TH QTR AND YEAR ENDED 31.03.2025,30-05-2025 13:41:19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6acf6491-1555-4501-b9ec-fccb82689bf6.pdf,0.8225,0.0204081632653061,0.0767401754856109,0.3581445016252751,Positive,,
The Yamuna Syndicate Ltd,"Audited Standalone And Consolidated Financial Results For The Quarter And Financial Year Ended March 31, 2025","The Board of Directors in its meeting of date ie May 30, 2025 considered and approved standalone and consolidated audited financial results for the quarter and financial year ended March 31, 2025",30-05-2025 13:39:41,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e6220531-cece-4487-9048-78e1f287187f.pdf,0.7096,-0.0166666666666666,-0.014854323118925,0.2743837030643225,Positive,,
DHP India Ltd,The Board Meeting Dated 30/05/2025 Approve The Audited Financial Results Of Year Ended 31/03/2025,The Board Meeting dated 30/05/2025 approve the Audited Financial Results of Year Ended 31/03/2025,30-05-2025 13:38:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9fdac3b8-efe0-4e94-b1e2-882d2207b6e1.pdf,0.3818,0.0241071428571428,0.0747366547584533,0.1823731392846788,Positive,,
PEARL Polymers Ltd,Results For The Financial Year Ended 31.03.2025,Results,30-05-2025 13:36:51,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747e6f68-1739-41fc-9222-3024c3dbaef4.pdf,0.9201,0.0511488511488511,0.1059517264366149,0.4151701732756399,Positive,,
SGN Telecoms Ltd,Financial Results For The Quarter & Year Ended 31-03-2025,Financial Results for the quarter & year ended 31-03-2025,30-05-2025 13:36:42,https://www.bseindia.com/xml-data/corpfiling/AttachLive/60abb291-6d03-4982-ab7b-ae7cc13b0b5f.pdf,0.9246,-0.0238095238095238,0.0767120718955993,0.3857107644258227,Positive,,
Darshan Orna Ltd,"Audited Standalone Financial Results For The Quarter And Financial Year Ended 31St March, 2025",The Board of Directors of the company in its meeting held today on 30th May 2025 has approved the Audited Standalone Financial Results for the Quarter and Financial Year ended 31st March 2025,30-05-2025 13:36:13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5dbbcadb-bed2-4124-98eb-5d2e15aac27c.pdf,0.8779,0.0152777777777777,-0.0012618452310562,0.3553647797640165,Positive,,
Terraform Magnum Ltd,"Outcome Of Board Meeting And Disclosure Under SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015.","Approval of Financial Results for the Year ended 31st March, 2025.",30-05-2025 13:34:51,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5b1761c5-2ffc-4894-86d5-32d752087c87.pdf,0.8271,-0.0138095238095238,-0.0081829354166984,0.3242422622321333,Positive,,
White Organic Agro Ltd,"Submission Of Annual Audited Financial Results Of The Company For The Quarter And Financial Year Ended 31St March, 2025",Stakeholder are requested to take on record Annual Audited Financial Result for the Quarter and year ended 31st March 2025 along with the statement on impact of Audit qualification issued .... Read More..,30-05-2025 13:34:11,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f6e297f1-2f28-456a-9dec-61a403e59335.pdf,-0.4215,0.040794499618029,0.1141023114323616,0.1221309566848828,Negative,,
Hira Automobiles Ltd,OUTCOME OF BOARD MEETING INTEGRATED FILING FINANCIALS FOR THE QUARTER AND FINANCIAL YEAR ENDED ON 31-03-2025,Please find enclosed the above results,30-05-2025 13:32:39,https://www.bseindia.com/xml-data/corpfiling/AttachLive/acddcc01-8ddd-48f2-aabd-679bfe95fa24.pdf,0.9042,0.023469387755102,0.1389674246311187,0.4104110437158663,Positive,,
Shivam Chemicals Ltd,"Outcome Of Board Meeting Held To Consider And Approve Audited Financial Results For The Half Year And Year Ended 31St March, 2025","Considered and approved Standalone and Consolidated Financial Results for the half year and year ended 31st March, 2025",30-05-2025 13:28:04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b39708a4-2331-4972-8ce3-54560bda1295.pdf,0.8442,-0.0277777777777777,-0.040437314659357,0.3172154722688595,Positive,,
Unknown,Audited Standalone And Consolidated Financial Results For The Quarter And Financial Year Ended 31 March 2025,We hereby Submit: 1. Audited Standalone and Consolidated Financial Results for year ended 31 march 2025 and Dividend 2. Press Release,30-05-2025 13:26:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/521053e8-5f3a-4f25-ad53-681d4071197b.pdf,0.8225,-0.0705782312925169,0.026678942143917,0.51583021325542,Positive,,
Kiri Industries Ltd,"Outcome Of The Board Meeting In Compliance Of Regulation 30 And 33 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015",Enclosed herewith Outcome of Board Meeting.,30-05-2025 13:18:19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1b653158-f894-46d9-83f3-d9b50e7e184b.pdf,0.6808,-0.0183150183150183,0.1132310852408409,0.3007948200777468,Positive,Volume Spike,Supertrend
Polson Ltd,"Audited Results For The Quarter And Year Ended March 31, 2025","This is to inform you that inter alia, the following is the outcome of the meeting of the board of Directors of the Co. held today has considered and approved following; 1. The Audited .... Read More..",30-05-2025 13:17:27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8c4493cb-0573-4bbe-bbe3-85f395c9ed5b.pdf,0.4939,0.13,0.053129892796278,0.2524989678388834,Positive,,
Neelamalai Agro Industries Ltd,Financial Results For The Year Ended 31St March 2025,Financial Results for the year ended 31st March 2025,30-05-2025 13:16:02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fd17be53-85fe-4b8d-99b8-33b4a7359780.pdf,0.9186,-0.0243589743589743,0.0002928264439105,0.5602201556254809,Positive,,
Zenith Exports Ltd,"Outcome Of Board Meeting In Accordance With Regulation 30 And 33 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations'2015 Pertaining To Audited Financial Results For The Quarter And Year Ended March 31, 2025.","OUTCOME OF BOARD MEETING WITH RESULTS FOR AUDITED FINANCIAL RESULTS FOR THE QUARTER & YEAR ENDED 31ST MARCH, 2025",30-05-2025 13:13:27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3f89a13e-ed4d-411d-a0af-7615004bc400.pdf,0.8591,-0.0142857142857142,0.012085810303688,0.3429800288053921,Positive,Volume Spike,
Valiant Communications Ltd-$,Audited Financial Results For Financial Year Ended 31-03-2025,As attached,30-05-2025 13:12:08,https://www.bseindia.com/xml-data/corpfiling/AttachLive/534bdf1a-9c87-42f9-990a-7aef0a6859c4.pdf,0.9403,-0.0170486376368729,0.0420008860528469,0.5836056745247922,Positive,,
Sangal Papers Ltd,Results- Financial Results For Year Ended 31/03/2025,Financial Results for the quarter and year ended on 31.03.2025,30-05-2025 13:10:55,https://www.bseindia.com/xml-data/corpfiling/AttachLive/858e74af-d330-4075-b05f-1bb30ff2cf7f.pdf,0.7906,0.1098214285714285,0.0388310104608535,0.3608357317096846,Positive,,
Mehta Integrated Finance Ltd,Considered And Approved The Audited Financial Results For The Quarter And Financial Year Ended On 31.03.2025,considered and approved the audited finanacial results for the quarter and financial year ended 31.03.2025,30-05-2025 13:10:24,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2e4c76f7-19be-4113-9b88-c71a129cec27.pdf,0.9118,0.1031746031746031,0.0520688742399215,0.4112930432243574,Positive,,
Rudra Global Infra Products Ltd,"Submission Of Revised Audited Financial Result Of The Company For Quarter And Year Ended On March 31, 2025","Submission of Revised Audited Financial Result for quarter and year ended on March 31, 2025.",30-05-2025 13:07:46,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8d872bee-e5c5-43e1-a57d-3f3892741aab.pdf,0.9022,0.0437074829931972,-0.0077461376786231,0.3716684035943722,Positive,,
